,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HomeTeamStreak_AtHome,HomeTeamStreak_AtAway,AwayTeamStreak_AtHome,AwayTeamStreak_AtAway
81,F1,03/10/15,Ajaccio GFCO,Toulouse,1.0,10.75,2.875,0,6,6,13.0,2.875,0.125,0.25,11.75,4.125,1,4,3,11.125,1.875,2.375,1.0,-2,-4,1,-3
82,F1,03/10/15,Angers,Bastia,2.0,9.625,3.375,4,7,1,13.125,2.0,0.125,1.125,7.625,2.875,3,1,4,10.875,1.375,3.125,1.5,1,1,1,-1
83,F1,03/10/15,Lyon,Reims,2.0,13.625,5.0,3,6,2,12.75,1.0,0.0,1.25,9.25,4.375,4,3,1,13.25,2.5,0.0,1.375,1,-1,3,-1
84,F1,03/10/15,Troyes,Guingamp,0.0,11.375,3.625,0,6,4,11.0,2.375,0.125,0.625,12.0,4.25,3,1,4,14.125,2.375,0.0,1.0,-2,-2,1,-1
85,F1,04/10/15,Caen,St Etienne,2.0,13.0,5.5,5,4,3,12.375,1.25,0.25,1.25,12.875,4.0,5,1,2,14.875,1.875,0.0,1.375,2,-1,-1,1
86,F1,04/10/15,Lorient,Bordeaux,2.0,11.625,4.375,3,5,3,13.0,2.25,0.25,1.375,13.125,3.75,2,4,2,13.375,2.25,2.0,1.375,1,-1,2,-1
87,F1,04/10/15,Monaco,Rennes,1.0,11.625,4.625,3,6,2,14.625,2.25,0.0,1.5,11.875,4.375,4,3,1,13.5,2.125,0.125,1.5,-2,3,2,2
88,F1,04/10/15,Paris SG,Marseille,2.0,15.125,6.125,6,6,0,10.5,1.375,0.125,2.125,14.0,4.625,2,2,4,12.125,2.25,2.125,1.625,2,4,-1,0
89,F1,16/10/15,Monaco,Lyon,1.0,11.888888888888891,4.777777777777779,3,7,2,14.555555555555555,2.333333333333333,0.0,1.4444444444444444,14.0,5.1111111111111125,4,3,2,12.555555555555555,1.1111111111111112,0.0,1.2222222222222219,-2,3,2,-1
90,F1,17/10/15,Bastia,Paris SG,0.0,7.666666666666668,2.7777777777777786,3,5,5,11.444444444444445,1.4444444444444446,0.4444444444444444,1.3333333333333333,15.222222222222221,6.333333333333332,7,2,0,10.777777777777779,1.4444444444444446,1.0,2.1111111111111107,1,-2,3,4
91,F1,17/10/15,Guingamp,Lille,1.0,12.666666666666664,4.5555555555555545,4,6,4,14.333333333333332,2.333333333333333,0.0,1.0,13.888888888888886,3.7777777777777777,2,4,3,16.555555555555557,2.666666666666667,1.0,0.4444444444444444,0,1,1,0
92,F1,17/10/15,Nantes,Troyes,2.0,9.0,2.625,3,4,4,15.375,2.25,0.375,0.5,11.444444444444445,3.4444444444444438,0,4,5,12.222222222222225,2.2222222222222223,0.2222222222222222,0.5555555555555556,-1,1,-3,-2
93,F1,17/10/15,Reims,Caen,0.0,9.111111111111109,4.222222222222221,4,6,2,12.777777777777779,2.4444444444444438,0.0,1.2222222222222219,13.111111111111107,5.666666666666666,6,0,3,12.222222222222221,1.1111111111111112,1.1111111111111112,1.2222222222222223,3,-2,3,-1
94,F1,17/10/15,St Etienne,Ajaccio GFCO,2.0,12.555555555555555,3.888888888888889,5,6,3,14.666666666666664,2.0,0.0,1.2222222222222223,10.333333333333334,2.8888888888888893,0,3,6,13.333333333333332,2.888888888888889,1.0,0.4444444444444444,-1,-1,-2,-4
95,F1,17/10/15,Toulouse,Angers,0.0,11.777777777777779,4.222222222222221,1,8,3,11.111111111111109,1.6666666666666667,0.5555555555555556,1.1111111111111112,10.444444444444443,3.6666666666666665,5,3,1,13.444444444444445,1.8888888888888893,0.1111111111111111,1.1111111111111112,1,-3,2,1
96,F1,18/10/15,Bordeaux,Montpellier,1.0,12.666666666666664,3.888888888888888,2,6,3,13.777777777777779,2.2222222222222223,0.3333333333333333,1.4444444444444442,10.333333333333332,3.6666666666666665,1,1,7,13.666666666666664,2.1111111111111107,0.0,0.6666666666666666,2,-2,1,-1
97,F1,18/10/15,Marseille,Lorient,1.0,13.888888888888891,5.0,2,5,5,12.111111111111114,2.333333333333333,0.3333333333333333,1.5555555555555558,11.111111111111109,4.333333333333333,4,2,3,12.444444444444445,2.0,1.2222222222222223,1.5555555555555556,-1,-1,2,-1
98,F1,18/10/15,Rennes,Nice,0.0,11.444444444444445,4.222222222222221,4,7,1,13.777777777777779,2.1111111111111107,0.1111111111111111,1.4444444444444444,11.375,5.0,4,2,2,11.375,1.5,2.125,2.5,2,2,1,2
99,F1,23/10/15,Caen,Nantes,0.0,12.9,5.500000000000001,7,5,3,12.599999999999998,1.2999999999999998,0.2,1.2000000000000002,9.888888888888891,2.7777777777777777,4,1,4,14.111111111111109,2.0,1.2222222222222223,0.7777777777777777,2,1,1,1
100,F1,23/10/15,Lyon,Toulouse,2.0,14.4,5.199999999999998,4,7,2,12.9,1.2,0.0,1.2000000000000004,12.7,4.4,1,5,4,11.2,1.6,2.3000000000000003,1.1,2,-1,-1,-3
101,F1,24/10/15,Ajaccio GFCO,Nice,2.0,9.7,2.6,0,8,7,13.3,2.6,0.1,0.4,11.444444444444445,5.222222222222221,5,2,2,10.888888888888891,1.5555555555555558,2.1111111111111107,2.666666666666667,-2,-5,1,3
102,F1,24/10/15,Angers,Guingamp,1.0,10.1,3.8,6,8,1,13.8,1.8000000000000005,0.1,1.2,12.4,4.300000000000002,4,2,4,14.0,2.2,0.0,1.0,2,2,0,1
103,F1,24/10/15,Lorient,Rennes,1.0,10.6,4.1,4,6,3,12.6,2.1,0.30000000000000004,1.5000000000000002,11.8,4.1,4,4,2,13.9,2.1,0.1,1.4,2,-1,-1,1
104,F1,24/10/15,Montpellier,Bastia,2.0,9.9,3.3,1,5,7,13.3,2.1,0.0,0.6000000000000001,7.5,2.7,3,1,6,11.7,1.6,3.1,1.2,1,-1,-1,-1
