,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
80,F1,14/10/16,Nice,Lyon,2,11.375,4.875,6,4,0,11.75,1.375,0.125,1.75,16,6.375,4,1,3,12.75,1.875,0.125,1.875,22949,22257,45206
81,F1,14/10/16,Toulouse,Monaco,2,9.25,2.875,4,5,2,17,3.125,0,1.375,13.125,5.25,6,1,1,13.125,1.625,1,2.75,17068,24370,41438
82,F1,15/10/16,Bastia,Angers,0,9.75,4,3,5,4,13.75,3,0.125,0.75,14.375,5.125,3,1,4,11.375,1.5,0.125,1,10511,20294,30805
83,F1,15/10/16,Guingamp,Lille,2,8.875,3.75,3,6,3,12.25,1.5,0.375,1.125,11.5,3.125,2,1,5,13.125,1.875,1,1,14790,18478,33268
84,F1,15/10/16,Lorient,Nantes,0,10.875,3.125,2,4,6,12.375,1.75,0.375,0.625,13.875,4.625,2,2,4,15,2.125,0,0.5,11832,19547,31379
85,F1,15/10/16,Montpellier,Caen,2,12.125,3.5,1,6,3,13.375,1.25,0.125,1.125,11.375,3,3,1,4,12,1.5,0,0.875,12356,19992,32348
86,F1,15/10/16,Nancy,Paris SG,0,9.75,1.875,1,5,5,14.125,2.375,0,0.375,14.25,5.125,5,1,2,10.5,1.5,1,2.125,17516,26366,43882
87,F1,16/10/16,Marseille,Metz,2,11.125,3.875,2,6,3,15.5,1.625,0.125,1.25,9,3.375,4,1,3,14.375,2.375,1.125,1.125,39898,19465,59363
88,F1,16/10/16,Rennes,Bordeaux,1,11.875,3.5,4,4,3,11.375,1.75,0,1.125,10.75,4.5,4,1,3,9.375,1,1.125,1.375,22689,22352,45041
89,F1,16/10/16,St Etienne,Dijon,1,11,3,3,5,2,14.5,1.875,0.125,1.25,9.375,4,2,2,4,10.25,1.625,1,1.375,27227,19831,47058
90,F1,21/10/16,Monaco,Montpellier,2,12.11111111,4.777777778,6,6,2,13.55555556,1.555555556,0.111111111,2.555555556,12,3.888888889,2,4,3,13.33333333,1.111111111,1.111111111,1.333333333,9420,18795,28215
91,F1,22/10/16,Angers,Toulouse,1,13.55555556,4.888888889,4,6,4,11.33333333,1.333333333,0.111111111,1.111111111,10.11111111,3.222222222,5,2,2,16.66666667,3,0,1.555555556,11954,19819,31773
92,F1,22/10/16,Bordeaux,Nancy,1,10.33333333,4.111111111,4,6,3,9.555555556,1.111111111,0.222222222,1.333333333,9.333333333,2,1,2,6,14.33333333,2.222222222,0,0.444444444,24217,18961,43178
93,F1,22/10/16,Dijon,Lorient,2,9.555555556,3.888888889,2,6,4,10,1.777777778,0.222222222,1.333333333,11.33333333,3.333333333,2,0,7,12.33333333,2,1.222222222,0.666666667,10128,19914,30042
94,F1,22/10/16,Lille,Bastia,2,11.55555556,3.111111111,2,5,6,14,1.666666667,0.111111111,0.888888889,10,3.888888889,3,1,5,13.11111111,2.888888889,0.111111111,0.777777778,29487,20847,50334
95,F1,22/10/16,Lyon,Guingamp,0,14.66666667,6,4,5,4,13.77777778,2,0.222222222,1.666666667,9.333333333,3.777777778,4,2,3,12.33333333,1.444444444,3,1.111111111,38203,19416,57619
96,F1,22/10/16,Nantes,Rennes,0,12.88888889,4.444444444,3,6,4,14.33333333,2.333333333,0,0.666666667,12.22222222,3.555555556,4,2,3,11.77777778,1.666666667,0,1.111111111,23152,19531,42683
97,F1,23/10/16,Caen,St Etienne,0,11.44444444,3.222222222,3,5,5,11.33333333,1.333333333,0,1,11.66666667,3,3,4,2,14.11111111,1.777777778,1,1.222222222,15786,23040,38826
98,F1,23/10/16,Metz,Nice,0,9.222222222,3.111111111,4,5,4,13.88888889,2.333333333,0.222222222,1,11.88888889,5,7,2,0,11.88888889,1.555555556,0.111111111,1.777777778,16196,22293,38489
99,F1,23/10/16,Paris SG,Marseille,1,13.44444444,4.888888889,6,6,2,10.44444444,1.444444444,0.111111111,2.111111111,11.66666667,4.111111111,3,3,3,15.33333333,1.555555556,1,1.222222222,45159,25215,70374
100,F1,28/10/16,Lille,Paris SG,0,12.1,3.6,3,5,6,14.3,1.8,0.1,1,13.8,4.7,6,2,2,9.8,1.3,1,1.9,29487,26366,55853
101,F1,29/10/16,Bastia,Dijon,1,9.5,3.6,3,6,6,13.8,2.7,0.1,0.8,9.9,3.8,3,3,4,9.7,1.7,2,1.3,10511,19831,30342
102,F1,29/10/16,Guingamp,Angers,2,9,3.9,5,7,3,13.1,1.6,0.3,1.3,13.3,4.7,4,2,4,11.6,1.4,0.1,1,14790,20294,35084
103,F1,29/10/16,Lorient,Montpellier,1,11.7,3.5,2,5,8,12.5,2,0.3,0.6,11.7,3.8,2,4,4,13,1,1.1,1.4,11832,18795,30627
104,F1,29/10/16,Nancy,Caen,2,9.5,2.1,1,6,6,14.5,2.3,0,0.5,11.2,3,3,1,6,10.9,1.3,0,0.9,17516,19992,37508
105,F1,29/10/16,St Etienne,Monaco,1,11.8,3.3,4,7,2,14,1.7,0.1,1.3,12.3,5.2,7,1,2,13.6,1.6,1,2.9,27227,24370,51597
106,F1,29/10/16,Toulouse,Lyon,0,9.7,3.1,5,6,2,16.2,3.1,0,1.4,15,6,4,1,5,13.7,1.9,1.1,1.6,17068,22257,39325
107,F1,30/10/16,Marseille,Bordeaux,1,10.5,3.7,3,7,3,14.8,1.6,0.1,1.1,10.5,3.9,4,3,3,9.8,1.1,1.1,1.3,39898,22352,62250
108,F1,30/10/16,Nice,Nantes,2,12.4,5.3,8,5,0,10.8,1.4,0.1,2,12.5,4.4,3,2,5,14.1,2.2,0,0.7,22949,19547,42496
109,F1,30/10/16,Rennes,Metz,2,11.7,3.5,5,6,3,11.4,1.8,0,1.2,9.2,3.3,4,1,5,14.2,2.5,1.1,1.1,22689,19465,42154
110,F1,4/11/2016,Montpellier,Marseille,2,11.36363636,3.818181818,2,8,4,12.63636364,1,0.181818182,1.454545455,10.45454545,3.636363636,3,5,3,14.63636364,1.545454545,1,1,12356,25215,37571
111,F1,5/11/2016,Angers,Lille,2,13.45454545,4.545454545,4,8,5,11.63636364,1.545454545,0.090909091,0.909090909,11.90909091,3.363636364,3,1,7,14.90909091,1.818181818,1,0.909090909,11954,18478,30432
112,F1,5/11/2016,Bordeaux,Lorient,2,10,3.636363636,4,8,3,9.636363636,1.090909091,0.181818182,1.181818182,12.18181818,3.454545455,2,1,8,12.54545455,2,1.181818182,0.727272727,24217,19914,44131
