,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
144,F1,30/11/2019,19:00,Nimes,Metz,1,1,1.0,0,1,0.0,14,10,3,4,12,19,6,2,1,6,0,0
145,F1,30/11/2019,19:00,Reims,Bordeaux,1,1,1.0,0,1,0.0,19,5,6,1,14,14,15,2,2,1,1,0
146,F1,01/12/2019,14:00,Nantes,Toulouse,2,1,2.0,1,0,2.0,21,7,8,3,15,15,10,4,1,3,0,1
147,F1,01/12/2019,16:00,Rennes,St Etienne,2,1,2.0,1,1,1.0,14,5,5,1,15,11,6,1,1,3,0,0
148,F1,03/12/2019,18:00,Angers,Marseille,0,2,0.0,0,2,0.0,9,10,2,4,11,11,3,1,1,1,0,0
149,F1,03/12/2019,18:00,Bordeaux,Nimes,6,0,2.0,2,0,2.0,12,7,8,1,14,13,0,6,2,1,0,0
150,F1,03/12/2019,18:00,Brest,Strasbourg,5,0,2.0,2,0,2.0,11,9,8,3,9,11,3,7,2,1,0,0
151,F1,03/12/2019,20:05,Lyon,Lille,0,1,0.0,0,0,1.0,11,8,3,2,13,9,9,1,1,2,0,0
152,F1,04/12/2019,18:00,Dijon,Montpellier,2,2,1.0,1,2,0.0,18,18,2,6,15,20,12,6,3,3,0,0
153,F1,04/12/2019,18:00,Metz,Rennes,0,1,0.0,0,1,0.0,20,12,4,2,13,8,8,8,2,0,0,0
154,F1,04/12/2019,18:00,St Etienne,Nice,4,1,2.0,3,1,2.0,15,16,7,4,15,11,8,5,2,3,0,0
155,F1,04/12/2019,18:00,Toulouse,Monaco,1,2,0.0,1,1,1.0,14,18,3,7,18,10,2,6,0,1,0,0
156,F1,04/12/2019,20:05,Paris SG,Nantes,2,0,2.0,0,0,1.0,10,11,6,4,11,14,5,9,1,2,0,0
157,F1,06/12/2019,18:00,Lille,Brest,1,0,2.0,1,0,2.0,16,6,10,0,10,9,7,3,0,1,0,0
158,F1,06/12/2019,19:45,Nimes,Lyon,0,4,0.0,0,1,0.0,6,22,2,8,10,15,1,5,2,2,2,0
159,F1,07/12/2019,16:30,Montpellier,Paris SG,1,3,0.0,1,0,2.0,6,14,1,5,17,18,4,4,5,3,1,0
160,F1,07/12/2019,19:00,Monaco,Amiens,3,0,2.0,0,0,1.0,20,5,8,2,10,8,8,1,0,0,0,0
161,F1,07/12/2019,19:00,Nice,Metz,4,1,2.0,2,0,2.0,14,18,5,3,8,13,2,4,0,2,0,0
162,F1,07/12/2019,19:00,Rennes,Angers,2,1,2.0,1,0,2.0,8,12,3,1,15,12,4,4,3,1,0,0
163,F1,07/12/2019,19:00,Strasbourg,Toulouse,4,2,2.0,2,1,2.0,18,14,7,9,10,7,3,5,0,1,0,0
164,F1,08/12/2019,14:00,Reims,St Etienne,3,1,2.0,1,0,2.0,10,11,3,4,10,14,1,2,2,2,0,0
165,F1,08/12/2019,16:00,Nantes,Dijon,1,0,2.0,0,0,1.0,17,5,6,1,12,14,9,1,1,2,0,0
166,F1,08/12/2019,20:00,Marseille,Bordeaux,3,1,2.0,0,1,0.0,25,3,6,2,10,9,7,0,2,1,0,0
167,F1,13/12/2019,19:45,Lille,Montpellier,2,1,2.0,1,0,2.0,14,10,9,4,13,15,4,5,3,1,0,0
168,F1,14/12/2019,16:30,Metz,Marseille,1,1,1.0,1,0,2.0,6,16,3,5,15,13,1,7,4,1,0,0
169,F1,14/12/2019,19:00,Amiens,Dijon,1,1,1.0,1,1,1.0,6,10,2,5,15,8,5,3,1,3,0,0
170,F1,14/12/2019,19:00,Angers,Monaco,0,0,1.0,0,0,1.0,10,7,5,2,16,15,7,6,4,3,0,0
171,F1,14/12/2019,19:00,Brest,Nice,0,0,1.0,0,0,1.0,16,15,4,7,13,11,5,6,3,2,0,0
172,F1,14/12/2019,19:00,Nimes,Nantes,0,1,0.0,0,1,0.0,16,10,4,5,17,21,9,3,0,3,0,0
173,F1,14/12/2019,19:00,Toulouse,Reims,0,1,0.0,0,1,0.0,9,10,5,4,17,14,4,8,0,2,0,0
174,F1,15/12/2019,14:00,Bordeaux,Strasbourg,0,1,0.0,0,1,0.0,13,7,3,4,12,13,5,7,3,2,0,0
175,F1,15/12/2019,16:00,Lyon,Rennes,0,1,0.0,0,0,1.0,10,12,3,6,20,15,5,7,3,3,0,0
176,F1,15/12/2019,20:00,St Etienne,Paris SG,0,4,0.0,0,2,0.0,11,21,2,13,4,9,5,2,1,1,1,0
177,F1,21/12/2019,19:45,Dijon,Metz,2,2,1.0,2,1,2.0,19,9,5,3,13,10,3,5,2,3,0,1
178,F1,21/12/2019,19:45,Marseille,Nimes,3,1,2.0,0,0,1.0,19,12,9,5,12,8,7,4,3,2,0,0
179,F1,21/12/2019,19:45,Monaco,Lille,5,1,2.0,2,1,2.0,15,9,6,4,10,15,5,6,5,1,1,0
180,F1,21/12/2019,19:45,Montpellier,Brest,4,0,2.0,2,0,2.0,17,17,6,4,12,15,3,2,1,1,0,0
181,F1,21/12/2019,19:45,Nantes,Angers,1,2,0.0,1,0,2.0,9,13,1,7,15,6,5,4,1,0,0,0
182,F1,21/12/2019,19:45,Nice,Toulouse,3,0,2.0,3,0,2.0,15,8,5,0,9,18,12,4,1,4,0,0
