,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
90,F1,21/10/17,Amiens,Bordeaux,2,8.75,1.875,2,5,6,13.875,2.625,0.125,0.5,14.88888889,5,4,4,1,13.88888889,2.111111111,0,1.777777778,9489,22009,31498
91,F1,21/10/17,Angers,Toulouse,0,13.11111111,4.666666667,2,8,1,14.66666667,2.222222222,0.111111111,1.555555556,10,3.222222222,3,2,4,17.55555556,2.666666667,0,1.111111111,11065,21412,32477
92,F1,21/10/17,Metz,Dijon,0,9.111111111,3.111111111,1,5,8,12.44444444,2,0.222222222,0.444444444,12.44444444,4.222222222,1,3,5,13.33333333,2.111111111,0.111111111,1.222222222,14844,21658,36502
93,F1,21/10/17,Monaco,Caen,2,14.22222222,5.222222222,6,6,2,14,1.777777778,0,2.666666667,12.66666667,3.111111111,5,0,4,14.22222222,1.333333333,0.111111111,0.777777778,9243,20701,29944
94,F1,21/10/17,Nantes,Guingamp,2,11.22222222,4,5,6,2,12.11111111,1.333333333,0.111111111,0.777777778,12.11111111,4.333333333,4,1,4,13.66666667,1.777777778,0,1.222222222,24559,22165,46724
95,F1,21/10/17,Rennes,Lille,2,13.77777778,3.666666667,1,6,5,13.55555556,2.333333333,0.222222222,1.222222222,12.375,3.625,1,3,4,13.125,2,1.25,0.75,23111,21878,44989
96,F1,22/10/17,Marseille,Paris SG,1,16,5.777777778,5,6,2,13.55555556,3,0.222222222,2,16.77777778,7.444444444,8,1,0,11.66666667,1.666666667,0.111111111,3.222222222,47314,29502,76816
97,F1,22/10/17,Nice,Strasbourg,0,13.11111111,5.333333333,3,5,5,12.88888889,2.444444444,0,1.333333333,13.11111111,3.777777778,1,3,5,14.22222222,2,0.111111111,1,22876,20496,43372
98,F1,22/10/17,Troyes,Lyon,0,9.111111111,2.777777778,3,6,3,11.88888889,2.111111111,0.333333333,1,14.66666667,5.666666667,4,4,1,14.11111111,2.222222222,1.111111111,2.222222222,11723,24477,36200
99,F1,27/10/17,Paris SG,Nice,2,15.8,7,8,5,0,11.9,1.8,0.2,3.1,13.2,5.7,3,1,6,12.1,2.2,0,1.3,46930,22201,69131
