,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF
74,F1,28/09/2019,19:00,Monaco,Brest,2.0,13.142857142857142,5.142857142857143,1,4,3,11.000000000000002,2.2857142857142856,0.42857142857142855,1.4285714285714286,10.857142857142858,3.714285714285714,1,5,1,12.000000000000002,1.7142857142857142,0.0,1.0,80,78,76,72,72,72
75,F1,28/09/2019,19:00,Nice,Lille,1.0,12.142857142857144,4.714285714285714,4,4,3,10.571428571428571,2.714285714285714,0.14285714285714285,1.5714285714285712,12.857142857142856,4.142857142857142,4,1,2,9.285714285714286,0.9999999999999998,2.0,1.4285714285714284,74,76,74,77,77,76
76,F1,28/09/2019,19:00,Reims,Dijon,0.0,11.285714285714285,2.8571428571428568,3,6,2,14.428571428571427,1.5714285714285712,0.0,0.8571428571428571,13.571428571428573,4.285714285714286,0,2,5,12.428571428571427,1.5714285714285714,0.0,0.2857142857142857,71,73,73,72,72,70
77,F1,29/09/2019,14:00,Strasbourg,Montpellier,2.0,11.142857142857142,2.8571428571428568,1,5,3,12.428571428571427,1.8571428571428568,0.14285714285714285,0.7142857142857142,13.285714285714285,4.142857142857142,3,2,2,16.42857142857143,2.2857142857142856,1.0,0.857142857142857,75,74,74,78,74,75
78,F1,29/09/2019,16:00,Nimes,St Etienne,0.0,14.142857142857142,4.0,2,4,3,14.428571428571427,2.142857142857143,0.2857142857142857,1.0,12.428571428571427,3.5714285714285707,1,2,4,11.999999999999998,1.857142857142857,0.0,0.857142857142857,72,70,72,73,76,74
79,F1,29/09/2019,20:00,Marseille,Rennes,1.0,12.285714285714285,3.4285714285714284,3,5,1,14.857142857142856,2.8571428571428568,0.2857142857142857,1.1428571428571428,9.142857142857146,3.0,3,2,2,14.714285714285715,2.2857142857142856,1.0,0.9999999999999998,80,78,77,76,77,76
80,F1,04/10/2019,19:45,Amiens,Marseille,2.0,8.5,2.625,2,5,4,11.25,1.625,0.25,1.125,12.875,3.625,3,4,1,15.25,3.0,0.25,1.125,73,73,71,80,78,77
81,F1,05/10/2019,16:30,Paris SG,Angers,2.0,15.25,5.75,6,4,2,12.25,1.75,0.0,1.625,14.75,4.5,5,1,2,12.75,1.125,0.0,2.0,88,84,83,74,75,74
82,F1,05/10/2019,19:00,Brest,Metz,2.0,10.125,3.375,1,7,2,12.375,1.75,0.0,1.0,11.125,3.5,2,2,4,12.125,1.375,0.0,1.0,72,72,72,73,72,72
83,F1,05/10/2019,19:00,Dijon,Strasbourg,2.0,13.25,4.25,1,6,5,13.5,1.625,0.0,0.5,10.75,2.875,2,3,3,13.125,2.125,0.125,0.75,72,72,70,75,74,74
84,F1,05/10/2019,19:00,Montpellier,Monaco,2.0,13.0,4.0,3,4,3,16.0,2.25,0.125,0.75,14.125,6.125,2,3,3,10.5,2.125,1.25,1.75,78,74,75,80,78,76
