,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
60,F1,27/09/08,Auxerre,Le Havre,2.0,9.333333333333334,3.833333333333333,2,1,3,14.666666666666664,1.5,0.0,1.1666666666666663,11.666666666666664,2.6666666666666665,1,1,4,16.0,1.0,0.0,0.6666666666666666,2008-09-27,MilieuDeTableau,BasDeTableau
61,F1,27/09/08,Caen,Nantes,2.0,13.000000000000002,3.5,2,2,2,17.833333333333336,2.1666666666666665,0.0,1.3333333333333333,12.499999999999998,3.666666666666667,1,1,4,17.666666666666668,2.0,0.0,0.8333333333333333,2008-09-27,MilieuDeTableau,BasDeTableau
62,F1,27/09/08,Le Mans,Marseille,1.0,9.666666666666666,3.333333333333333,3,1,2,20.83333333333333,1.833333333333333,0.0,1.8333333333333333,16.666666666666664,5.0,3,3,0,16.333333333333332,1.1666666666666667,1.0,2.0,2008-09-27,HautDeTableau,HautDeTableau
63,F1,27/09/08,Lyon,Nancy,2.0,16.333333333333336,6.499999999999999,5,1,0,14.833333333333332,1.6666666666666667,0.16666666666666666,1.6666666666666667,10.833333333333332,2.333333333333333,1,4,1,16.166666666666664,1.3333333333333337,0.16666666666666666,0.6666666666666666,2008-09-27,HautDeTableau,BasDeTableau
64,F1,27/09/08,Paris SG,Grenoble,0.0,9.666666666666668,3.0,3,1,2,16.833333333333336,2.5,0.0,0.6666666666666666,8.333333333333334,2.6666666666666665,3,1,2,15.000000000000002,1.8333333333333333,1.1666666666666667,0.8333333333333333,2008-09-27,MilieuDeTableau,MilieuDeTableau
65,F1,27/09/08,Rennes,Nice,2.0,15.000000000000002,5.666666666666668,1,4,1,18.0,2.333333333333333,0.16666666666666666,1.1666666666666667,10.166666666666666,3.333333333333334,3,1,2,20.833333333333336,2.0,1.0,1.4999999999999998,2008-09-27,MilieuDeTableau,HautDeTableau
66,F1,27/09/08,Sochaux,Lorient,1.0,15.833333333333336,5.333333333333333,0,2,4,15.333333333333332,2.1666666666666665,0.0,1.0,11.166666666666664,2.5000000000000004,1,2,3,15.0,1.6666666666666663,0.0,0.5,2008-09-27,BasDeTableau,BasDeTableau
67,F1,28/09/08,Bordeaux,St Etienne,1.0,15.666666666666664,6.166666666666668,3,1,2,14.833333333333332,2.1666666666666665,0.3333333333333333,1.1666666666666663,16.833333333333332,4.5,2,0,4,17.166666666666668,1.6666666666666663,0.0,0.5,2008-09-28,MilieuDeTableau,BasDeTableau
68,F1,28/09/08,Monaco,Lille,0.0,8.5,2.5,2,3,1,20.0,1.6666666666666663,0.0,0.8333333333333333,13.0,4.666666666666666,2,2,2,18.333333333333336,2.333333333333333,1.0,1.3333333333333333,2008-09-28,MilieuDeTableau,MilieuDeTableau
69,F1,28/09/08,Valenciennes,Toulouse,0.0,12.0,4.166666666666667,2,1,3,20.166666666666668,2.0,0.16666666666666666,1.0,8.833333333333334,3.5,3,2,1,17.333333333333332,2.0,0.0,1.0,2008-09-28,BasDeTableau,HautDeTableau
70,F1,04/10/08,Grenoble,Nantes,0.0,8.428571428571429,2.4285714285714284,4,1,2,15.142857142857142,1.8571428571428568,0.2857142857142857,0.857142857142857,12.857142857142858,3.8571428571428568,1,1,5,19.142857142857142,2.142857142857143,0.0,0.7142857142857142,2008-10-04,HautDeTableau,BasDeTableau
71,F1,04/10/08,Le Havre,Le Mans,0.0,11.857142857142858,2.4285714285714284,1,1,5,16.428571428571427,1.1428571428571428,0.0,0.5714285714285714,9.142857142857142,3.1428571428571423,3,2,2,20.42857142857143,2.0,0.0,1.714285714285714,2008-10-04,BasDeTableau,HautDeTableau
