,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
88,F1,06/11/2020,20:00,Strasbourg,Marseille,0,11.666666666666668,4.333333333333333,0.2222222222222222,0.5555555555555556,0.7777777777777778,12.555555555555555,1.8888888888888888,0.0,1.1111111111111112,9.75,2.625,0.5,0.375,0.125,13.375,3.0,3.0,1.375
89,F1,07/11/2020,16:00,Bordeaux,Montpellier,0,10.222222222222223,3.6666666666666665,0.3333333333333333,0.7777777777777778,0.3333333333333333,12.666666666666668,2.333333333333334,0.2222222222222222,0.9999999999999999,11.0,4.444444444444445,0.4444444444444444,0.2222222222222222,0.3333333333333333,13.555555555555557,1.888888888888889,2.3333333333333335,1.5555555555555558
90,F1,07/11/2020,20:00,Paris SG,Rennes,2,17.555555555555554,6.888888888888889,0.7777777777777778,0.5555555555555556,0.2222222222222222,11.333333333333334,2.111111111111111,0.4444444444444444,2.555555555555556,14.555555555555555,4.444444444444445,0.5555555555555556,0.3333333333333333,0.1111111111111111,12.0,2.3333333333333335,1.1111111111111112,2.0
91,F1,08/11/2020,12:00,Brest,Lille,2,13.333333333333334,4.666666666666667,0.3333333333333333,0.5555555555555556,0.6666666666666666,15.11111111111111,1.9999999999999998,0.1111111111111111,1.3333333333333333,12.555555555555555,4.777777777777778,0.5555555555555556,0.4444444444444444,0.0,13.777777777777777,1.9999999999999998,0.1111111111111111,1.6666666666666667
92,F1,08/11/2020,14:00,Lens,Reims,1,12.857142857142858,4.428571428571429,0.5714285714285714,0.5714285714285714,0.2857142857142857,17.857142857142854,2.8571428571428568,0.42857142857142855,1.4285714285714284,9.88888888888889,3.5555555555555554,0.2222222222222222,0.2222222222222222,0.5555555555555556,13.111111111111112,2.444444444444444,2.2222222222222223,1.3333333333333335
93,F1,08/11/2020,14:00,Lorient,Nantes,0,9.0,3.2222222222222223,0.2222222222222222,0.6666666666666666,0.5555555555555556,15.555555555555555,2.0,0.0,1.3333333333333333,9.625,3.375,0.25,0.25,0.5,12.75,2.125,1.25,1.125
94,F1,08/11/2020,14:00,Metz,Dijon,1,10.11111111111111,3.5555555555555554,0.4444444444444444,0.5555555555555556,0.3333333333333333,11.999999999999998,1.8888888888888884,0.1111111111111111,1.111111111111111,9.666666666666664,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,15.666666666666668,2.3333333333333335,0.1111111111111111,0.4444444444444444
95,F1,08/11/2020,14:00,Nimes,Angers,0,11.777777777777779,4.333333333333333,0.2222222222222222,0.5555555555555556,0.5555555555555556,12.888888888888888,1.7777777777777777,0.1111111111111111,1.0,11.777777777777779,3.7777777777777777,0.4444444444444444,0.1111111111111111,0.4444444444444444,11.555555555555555,2.444444444444444,0.1111111111111111,1.1111111111111112
96,F1,08/11/2020,16:00,Nice,Monaco,0,10.222222222222223,3.5555555555555562,0.5555555555555556,0.6666666666666666,0.2222222222222222,12.88888888888889,2.444444444444445,0.0,1.5555555555555556,16.11111111111111,4.333333333333334,0.4444444444444444,0.2222222222222222,0.3333333333333333,13.222222222222221,2.8888888888888893,1.2222222222222223,1.6666666666666667
97,F1,08/11/2020,20:00,Lyon,St Etienne,2,18.0,5.444444444444444,0.3333333333333333,0.7777777777777778,0.1111111111111111,12.555555555555557,2.333333333333333,0.3333333333333333,1.6666666666666667,8.666666666666668,3.0,0.3333333333333333,0.1111111111111111,0.5555555555555556,14.333333333333332,1.8888888888888888,2.0,1.0
